#,title,viewCount,duration,avrag_duration_of_top_10_videos,avrage_video_Views_with_common_tags,avrage_video_Views_without_common_tags,tags
1,"Tesla, Inc. 2022 Annual Meeting of Stockholders",540335,4384,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'Cypertruck', 'cybrtrk', 'tsla', 'ev'"
2,Tesla Montreal Grand Opening Event,75439,90,85.0370,944643.6471,2036304.3636,"Tesla Motors (Venture Funded Company)', 'Tesla Model S (Automobile Model)', 'Automobile (TV Genre)', 'Canada', 'Montreal', 'Electric Car (Automotive Class)', 'EV', 'P85D', 'Electric Vehicle (Industry)'"
3,A Musician's Dream Car,94461,160,85.0370,944643.6471,2036304.3636,"Musician (Occupation)', 'drum', 'tesla', 'motors', 'Automobile (Industry)', 'electric', 'Energy', 'Global', 'Warming', 'Climate', 'Change', 'elon', 'musk'"
4,S3XY Light Show,1104886,82,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'tesla light show', 'new tesla light show', 'tesla dance', 'tesla car dance', 'new tesla light dance'"
5,"Tesla Megapack | Soldotna, AK",172646,75,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'megapack', 'tesla energy', 'tesla commercial battery', 'tesla battery backup'"
6,Tesla Cyber Rodeo 2022,432275,140,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'tesla rodeo', 'giga texas rodeo', 'tesla texas', 'tesla texas factory', 'tesla giga texas cyber'"
7,Tesla Powerpacks + Solar Powering Kauai,441934,56,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
8,Perform Under Pressure,58757,46,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
9,How Model 3 gets made,861920,49,85.0370,944643.6471,2036304.3636,"tesla', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'model 3 production', 'model 3 built', 'model 3 robots', 'model 3 general assembly', 'model 3 assembly line', 'model 3 how its made', 'model 3 behind the scenes', 'tesla model 3 assembly'"
10,Model S Has Gone to Plaid,446611,71,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
11,Discover: Scheduled Departure,728365,34,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
12,Tesla Glass | The Secret to a Quiet Cabin,1393829,135,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
13,Leave the City Behind,56043,37,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'electric car', 'tesla motors', 'coen swijnenberg', 'radio DJ 538', 'electric vehicles', 'superchargers', 'green car', 'destination', 'france', 'tesla owner', 'model 3', 'road trip', 'zero emission', '0 emission', 'performance', 'drone', 'europe', 'touring', 'the greatest drive', 'italy', 'car review', 'tesla customer', 'range', 'range anxiety', 'long distance', 'freedom', 'no limitations', 'travel'"
14,Inside Tesla 06.12.12 - Paint,36378,132,85.0370,944643.6471,2036304.3636,"Model S', 'Tesla Motors', 'Tesla', 'Electric', 'Car', 'Battery', 'Elon Musk', 'Energy', 'Vehicle', 'EV'"
15,Tesla,2305741,107,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
16,Model 3 Guide | Gear Selection,305288,43,85.0370,944643.6471,2036304.3636,"tesla', 'tesla model 3', 'tesla model 3 features', 'electric car', 'electric vehicle', 'driving a model 3', 'gear selection in a Model 3', 'Model 3 gear selection'"
17,Displays | Model S and Model X,82130,269,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'speedometer', 'user interface', 'infotainment', 'climate', 'media', 'tesla touchscreen'"
18,Flying Through Giga Berlin,3381440,178,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'giga berlin', 'gigafactory berlin', 'tesla berlin factory'"
19,Discover: PIN to Drive,844137,23,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
20,Discover: Sentry Mode,2459643,29,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
21,Beach Buggy Racing 2,706182,29,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
22,Introducing Dog Mode,19598259,28,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'electric car', 'tesla dog mode', 'dog mode', 'tesla dogs', 'tesla dog feature', 'tesla dog temperature', 'tesla pet mode', 'elon'"
23,Model 3 Guide | Key Card,1077228,26,85.0370,944643.6471,2036304.3636,"Tesla Model 3', 'Tesla Model 3 features', 'electric car', 'electric vehicle', 'Tesla Bluetooth', 'Tesla phone key', 'Tesla car control', 'Tesla remote control', 'Model 3 overview', 'remote control of a Model 3', 'unlocking a Model 3', 'locking a Model 3', 'tesla'"
24,Discover: Camp Mode,742377,56,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery'"
25,Safety First | Tesla Customer Stories,99873,157,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'customer', 'story', 'stories', 'electric', 'safety', 'race car driver', 'crash', 'accident'"
26,Model S Guide | Key Fob,158110,28,85.0370,944643.6471,2036304.3636,"Tesla Model S', 'features of the Tesla Model S', 'Tesla Model S features', 'Model S overview', 'electric car', 'electric vehicle', 'Model S key fob', 'how to use a Tesla key fob', 'how to lock and unlock a Tesla Model S', 'Tesla key fob functions', 'Tesla key fob instructions', 'Tesla key fob features'"
27,"Powerwall captures the power of the sun, day and night.",217654,100,85.0370,944643.6471,2036304.3636,"tesla', 'model s', 'model x', 'model 3', 'powerwall', 'electric car', 'elon musk', 'ludicrous', 'battery', 'solar energy'"
28,Inside Tesla 5.29.12 - Stamping,36349,116,85.0370,944643.6471,2036304.3636,"Tesla', 'Motors', 'Model S', 'Electric', 'Automobiles', 'Car', 'Elon Musk', 'Battery', 'Power', 'Factory', 'Tesla Motors (Organization)', 'EV', 'Energy', 'Cars', 'Tesla Motors'"
